,algorithm,length,ncomp,nswap,time
0,merge,100,535,672,0.0010943412780761719
1,merge,100,540,672,0.0011098384857177734
2,merge,100,530,672,0.0011038780212402344
3,merge,100,552,672,0.0011210441589355469
4,merge,100,543,672,0.0011229515075683594
5,merge,100,533,672,0.001116037368774414
6,merge,100,549,672,0.0011782646179199219
7,merge,100,548,672,0.0011451244354248047
8,merge,100,543,672,0.0010874271392822266
9,merge,100,545,672,0.001085042953491211
10,merge,100,551,672,0.0010988712310791016
11,merge,100,547,672,0.0011031627655029297
12,merge,100,541,672,0.0011432170867919922
13,merge,100,535,672,0.0010960102081298828
14,merge,100,545,672,0.0010828971862792969
15,merge,100,550,672,0.0010988712310791016
16,merge,100,547,672,0.0010857582092285156
17,merge,100,539,672,0.0010797977447509766
18,merge,100,533,672,0.0010831356048583984
19,merge,100,545,672,0.001081705093383789
20,merge,100,546,672,0.0010898113250732422
21,merge,100,528,672,0.001096963882446289
22,merge,100,547,672,0.001157999038696289
23,merge,100,541,672,0.0010991096496582031
24,merge,100,546,672,0.001112222671508789
25,merge,100,537,672,0.0011301040649414062
26,merge,100,546,672,0.0010869503021240234
27,merge,100,536,672,0.001071929931640625
28,merge,100,539,672,0.0010750293731689453
29,merge,100,545,672,0.0010781288146972656
30,merge,100,546,672,0.0010790824890136719
31,merge,100,527,672,0.001074075698852539
32,merge,100,549,672,0.001077890396118164
33,merge,100,544,672,0.0010759830474853516
34,merge,100,543,672,0.0010790824890136719
35,merge,100,539,672,0.0010747909545898438
36,merge,100,543,672,0.0010747909545898438
37,merge,100,532,672,0.001071929931640625
38,merge,100,543,672,0.0011057853698730469
39,merge,100,547,672,0.001100778579711914
40,merge,100,543,672,0.0010819435119628906
41,merge,100,546,672,0.0010890960693359375
42,merge,100,540,672,0.0010790824890136719
43,merge,100,543,672,0.0011379718780517578
44,merge,100,543,672,0.0010771751403808594
45,merge,100,532,672,0.001068115234375
46,merge,100,540,672,0.0010747909545898438
47,merge,100,541,672,0.0010769367218017578
48,merge,100,541,672,0.0010828971862792969
49,merge,100,542,672,0.0010750293731689453
50,merge,100,535,672,0.0010728836059570312
51,merge,100,547,672,0.0010781288146972656
52,merge,100,544,672,0.0010762214660644531
53,merge,100,544,672,0.0011050701141357422
54,merge,100,541,672,0.0010790824890136719
55,merge,100,536,672,0.0010728836059570312
56,merge,100,532,672,0.001074075698852539
57,merge,100,537,672,0.0010759830474853516
58,merge,100,537,672,0.0010781288146972656
59,merge,100,545,672,0.001177072525024414
60,merge,100,541,672,0.0011479854583740234
61,merge,100,541,672,0.0010769367218017578
62,merge,100,534,672,0.0010743141174316406
63,merge,100,555,672,0.0010843276977539062
64,merge,100,534,672,0.0010759830474853516
65,merge,100,533,672,0.0010716915130615234
66,merge,100,539,672,0.0010747909545898438
67,merge,100,539,672,0.0010750293731689453
68,merge,100,551,672,0.0010809898376464844
69,merge,100,539,672,0.0010750293731689453
70,merge,100,538,672,0.0011019706726074219
71,merge,100,547,672,0.0010769367218017578
72,merge,100,540,672,0.001071929931640625
73,merge,100,544,672,0.00109100341796875
74,merge,100,543,672,0.0010781288146972656
75,merge,100,543,672,0.0010769367218017578
76,merge,100,544,672,0.0010759830474853516
77,merge,100,547,672,0.0010821819305419922
78,merge,100,550,672,0.001085042953491211
79,merge,100,543,672,0.0010769367218017578
80,merge,100,536,672,0.0010750293731689453
81,merge,100,550,672,0.0010869503021240234
82,merge,100,551,672,0.0010809898376464844
83,merge,100,546,672,0.0010790824890136719
84,merge,100,544,672,0.0010769367218017578
85,merge,100,547,672,0.0010797977447509766
86,merge,100,542,672,0.0010759830474853516
87,merge,100,551,672,0.0011138916015625
88,merge,100,544,672,0.0010728836059570312
89,merge,100,537,672,0.0010790824890136719
90,merge,100,551,672,0.0010802745819091797
91,merge,100,535,672,0.001085042953491211
92,merge,100,538,672,0.0010712146759033203
93,merge,100,545,672,0.0010769367218017578
94,merge,100,538,672,0.001096963882446289
95,merge,100,540,672,0.0010750293731689453
96,merge,100,533,672,0.0010716915130615234
97,merge,100,540,672,0.0010788440704345703
98,merge,100,550,672,0.0010852813720703125
99,merge,100,543,672,0.0010771751403808594
100,quick,100,580,451,0.0006189346313476562
101,quick,100,618,423,0.0006198883056640625
102,quick,100,759,562,0.0007340908050537109
103,quick,100,633,450,0.0006468296051025391
104,quick,100,623,437,0.0006451606750488281
105,quick,100,646,432,0.0006399154663085938
106,quick,100,588,444,0.0006520748138427734
107,quick,100,602,423,0.0006220340728759766
108,quick,100,631,475,0.0006468296051025391
109,quick,100,566,428,0.0006060600280761719
110,quick,100,729,457,0.0006949901580810547
111,quick,100,770,632,0.0007719993591308594
112,quick,100,639,407,0.0006339550018310547
113,quick,100,814,463,0.0007519721984863281
114,quick,100,733,423,0.0006887912750244141
115,quick,100,641,478,0.0006680488586425781
116,quick,100,705,550,0.0007169246673583984
117,quick,100,640,373,0.0006191730499267578
118,quick,100,589,429,0.0006079673767089844
119,quick,100,633,417,0.0006330013275146484
120,quick,100,690,477,0.0006792545318603516
121,quick,100,649,447,0.0006520748138427734
122,quick,100,670,433,0.0006558895111083984
123,quick,100,603,410,0.000614166259765625
124,quick,100,636,429,0.000637054443359375
125,quick,100,649,506,0.0008749961853027344
126,quick,100,703,418,0.0009243488311767578
127,quick,100,667,504,0.0009338855743408203
128,quick,100,660,444,0.0006420612335205078
129,quick,100,710,459,0.0006830692291259766
130,quick,100,634,538,0.0006721019744873047
131,quick,100,716,465,0.0006940364837646484
132,quick,100,549,395,0.0005869865417480469
133,quick,100,751,501,0.0007281303405761719
134,quick,100,662,486,0.0006690025329589844
135,quick,100,587,401,0.0006036758422851562
136,quick,100,613,485,0.0006480216979980469
137,quick,100,641,506,0.0006690025329589844
138,quick,100,620,413,0.000621795654296875
139,quick,100,674,367,0.0006339550018310547
140,quick,100,547,422,0.0006642341613769531
141,quick,100,641,395,0.0007038116455078125
142,quick,100,699,491,0.0007770061492919922
143,quick,100,649,444,0.0007390975952148438
144,quick,100,776,540,0.0008378028869628906
145,quick,100,688,498,0.0007770061492919922
146,quick,100,602,487,0.0007162094116210938
147,quick,100,673,525,0.0007708072662353516
148,quick,100,701,595,0.0008218288421630859
149,quick,100,667,421,0.0007340908050537109
150,quick,100,602,421,0.0006978511810302734
151,quick,100,654,499,0.0007600784301757812
152,quick,100,651,481,0.0007538795471191406
153,quick,100,660,501,0.0007460117340087891
154,quick,100,623,394,0.0006229877471923828
155,quick,100,590,409,0.0006132125854492188
156,quick,100,588,442,0.0006127357482910156
157,quick,100,585,435,0.0006129741668701172
158,quick,100,708,583,0.0007398128509521484
159,quick,100,740,577,0.0007431507110595703
160,quick,100,724,398,0.0006749629974365234
161,quick,100,603,529,0.0006549358367919922
162,quick,100,641,403,0.0006399154663085938
163,quick,100,579,440,0.0006122589111328125
164,quick,100,610,476,0.0006477832794189453
165,quick,100,594,429,0.0006163120269775391
166,quick,100,687,410,0.0006620883941650391
167,quick,100,635,423,0.0006349086761474609
168,quick,100,701,462,0.0006928443908691406
169,quick,100,736,378,0.0006749629974365234
170,quick,100,661,376,0.0006279945373535156
171,quick,100,661,494,0.000682830810546875
172,quick,100,659,521,0.0006809234619140625
173,quick,100,658,436,0.0006659030914306641
174,quick,100,637,468,0.0006508827209472656
175,quick,100,640,525,0.0006740093231201172
176,quick,100,690,512,0.0006868839263916016
177,quick,100,662,408,0.0006399154663085938
178,quick,100,825,598,0.0007989406585693359
179,quick,100,676,447,0.0006668567657470703
180,quick,100,557,399,0.0005860328674316406
181,quick,100,587,424,0.0006091594696044922
182,quick,100,670,447,0.0006656646728515625
183,quick,100,669,468,0.0006670951843261719
184,quick,100,678,436,0.0006690025329589844
185,quick,100,675,545,0.0007071495056152344
186,quick,100,595,473,0.0006318092346191406
187,quick,100,595,414,0.0006110668182373047
188,quick,100,616,409,0.0006308555603027344
189,quick,100,663,520,0.00067901611328125
190,quick,100,745,528,0.0007219314575195312
191,quick,100,636,507,0.0006678104400634766
192,quick,100,694,417,0.0006730556488037109
193,quick,100,697,480,0.0006818771362304688
194,quick,100,678,422,0.0006668567657470703
195,quick,100,585,393,0.0005970001220703125
196,quick,100,663,514,0.0006859302520751953
197,quick,100,609,446,0.0006279945373535156
198,quick,100,726,568,0.0007331371307373047
199,quick,100,697,437,0.0006740093231201172
200,dpquick,100,666,294,0.0007717609405517578
201,dpquick,100,682,433,0.0007119178771972656
202,dpquick,100,547,341,0.0005390644073486328
203,dpquick,100,624,312,0.0005650520324707031
204,dpquick,100,653,463,0.0006411075592041016
205,dpquick,100,564,342,0.0005481243133544922
206,dpquick,100,542,352,0.0005218982696533203
207,dpquick,100,564,343,0.0005438327789306641
208,dpquick,100,636,331,0.0005998611450195312
209,dpquick,100,653,445,0.0007128715515136719
210,dpquick,100,599,326,0.0006208419799804688
211,dpquick,100,696,378,0.0006921291351318359
212,dpquick,100,582,353,0.0006170272827148438
213,dpquick,100,552,376,0.0006148815155029297
214,dpquick,100,654,391,0.0007011890411376953
215,dpquick,100,611,359,0.0006399154663085938
216,dpquick,100,635,312,0.0006320476531982422
217,dpquick,100,592,343,0.0006279945373535156
218,dpquick,100,636,332,0.0006508827209472656
219,dpquick,100,573,326,0.0006062984466552734
220,dpquick,100,571,349,0.0006339550018310547
221,dpquick,100,727,395,0.0007369518280029297
222,dpquick,100,582,327,0.0005970001220703125
223,dpquick,100,599,405,0.0006668567657470703
224,dpquick,100,647,431,0.0006399154663085938
225,dpquick,100,548,314,0.0005319118499755859
226,dpquick,100,610,361,0.0005939006805419922
227,dpquick,100,613,392,0.0005958080291748047
228,dpquick,100,555,366,0.0005471706390380859
229,dpquick,100,587,300,0.0005500316619873047
230,dpquick,100,564,360,0.0005638599395751953
231,dpquick,100,619,381,0.0005831718444824219
232,dpquick,100,685,341,0.0006279945373535156
233,dpquick,100,674,370,0.0006029605865478516
234,dpquick,100,608,276,0.0005781650543212891
235,dpquick,100,590,378,0.0005879402160644531
236,dpquick,100,620,324,0.0005702972412109375
237,dpquick,100,590,319,0.0006062984466552734
238,dpquick,100,563,348,0.0005476474761962891
239,dpquick,100,556,394,0.0005366802215576172
240,dpquick,100,591,350,0.0005629062652587891
241,dpquick,100,630,332,0.0005769729614257812
242,dpquick,100,563,326,0.0005471706390380859
243,dpquick,100,651,387,0.0006079673767089844
244,dpquick,100,578,317,0.0005431175231933594
245,dpquick,100,611,335,0.0005638599395751953
246,dpquick,100,596,379,0.0005867481231689453
247,dpquick,100,666,351,0.0006089210510253906
248,dpquick,100,593,334,0.0005466938018798828
249,dpquick,100,606,355,0.0005707740783691406
250,dpquick,100,731,299,0.0006310939788818359
251,dpquick,100,588,343,0.0005710124969482422
252,dpquick,100,597,319,0.0005590915679931641
253,dpquick,100,587,306,0.0005559921264648438
254,dpquick,100,591,376,0.0005822181701660156
255,dpquick,100,581,324,0.000553131103515625
