,algorithm,length,ncomp,nswap,time
0,insert,100,2311,2214,0.0015330314636230469
1,insert,100,2462,2367,0.0015816688537597656
2,insert,100,2472,2375,0.0015912055969238281
3,insert,100,2301,2204,0.0014977455139160156
4,insert,100,2524,2431,0.0016257762908935547
5,insert,100,2988,2895,0.0019540786743164062
6,insert,100,2379,2281,0.0015590190887451172
7,insert,100,2543,2449,0.0017979145050048828
8,insert,100,2243,2149,0.0015521049499511719
9,insert,100,2373,2278,0.0015249252319335938
10,merge,100,542,672,0.0009739398956298828
11,merge,100,548,672,0.0009469985961914062
12,merge,100,542,672,0.0009419918060302734
13,merge,100,550,672,0.0009810924530029297
14,merge,100,540,672,0.0009751319885253906
15,merge,100,538,672,0.0009601116180419922
16,merge,100,539,672,0.0009379386901855469
17,merge,100,550,672,0.000942230224609375
18,merge,100,546,672,0.0009400844573974609
19,merge,100,537,672,0.0009348392486572266
20,quick,100,609,415,0.0005197525024414062
21,quick,100,630,516,0.0005838871002197266
22,quick,100,645,517,0.0005593299865722656
23,quick,100,599,367,0.0005052089691162109
24,quick,100,669,469,0.0006060600280761719
25,quick,100,656,502,0.0006289482116699219
26,quick,100,734,559,0.0006709098815917969
27,quick,100,653,411,0.0006039142608642578
28,quick,100,648,396,0.0005881786346435547
29,quick,100,723,487,0.0005919933319091797
30,dpquick,100,604,314,0.0002758502960205078
31,dpquick,100,587,311,0.00026607513427734375
32,dpquick,100,558,405,0.0002720355987548828
33,dpquick,100,547,395,0.00027823448181152344
34,dpquick,100,612,316,0.0002613067626953125
35,dpquick,100,627,310,0.0002560615539550781
36,dpquick,100,569,323,0.00026798248291015625
37,dpquick,100,649,311,0.00025916099548339844
38,dpquick,100,579,328,0.0002589225769042969
39,dpquick,100,585,345,0.0002689361572265625
40,insert,200,10009,9815,0.0070438385009765625
41,insert,200,10594,10396,0.008262872695922852
42,insert,200,10443,10247,0.006906986236572266
43,insert,200,9598,9404,0.0066280364990234375
44,insert,200,9804,9608,0.006543874740600586
